Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Mitral regurgitation,loss of appetite,fatigue,burning sensation,vomiting,hallucinations
Mitral stenosis,pale skin,itching,blisters,weight loss,dry mouth
Mitral valve prolapse,chest pain,palpitations,shortness of breath,fatigue,dizziness
Mixed cellularity HL,mood swings,weakness,blisters,numbness,dry skin
Mixed connective tissue disease,redness,sore throat,cough,hair loss,stiffness
Molar pregnancy,loss of balance,joint pain,fainting,heartburn,fever
Molluscum contagiosum,neck pain,nausea,vomiting,hunger,tremor
Monkeypox,vomiting,loss of balance,hunger,seizures,weight loss
Morning sickness,brittle nails,inflammation,fainting,night sweats,sore throat
Motor neurone disease,headache,dizziness,confusion,seizures,numbness
Mouth cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Mouth ulcers,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Mucopolysaccharidosis,shortness of breath,constipation,hoarseness,nausea,fatigue
Mucormycosis,spinning sensation,delusions,hunger,restlessness,vomiting
Multiple myeloma,swelling,weight loss,insomnia,delusions,dizziness
Multiple sclerosis,blurred vision,headache,numbness,yellowish skin,abdominal pain
Multiple system atrophy,yellowish skin,skin rash,hallucinations,chills,back pain
Mumps,sweating,back pain,nausea,heartburn,sore throat
Munchausen syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Munchausen's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Murine typhus,anxiety,tremor,mood swings,joint pain,pain
Murray Valley encephalitis,fever,chills,fatigue,body aches,headache
Muscular dystrophy,heat intolerance,fever,bruising,weakness,watering eyes
Myasthenia gravis,shortness of breath,lump,hair loss,gas,watering eyes
Mycosis fungoides,sore throat,bloating,dizziness,weakness,foul smell
Myelodysplastic syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Myelodysplastic syndromes,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Myelofibrosis,shortness of breath,pain,cold intolerance,diarrhea,delusions
Myocardial infarction,blisters,vomiting,loss of appetite,shivering,confusion
Myocarditis,fever,chills,fatigue,body aches,headache
Myopia,dry mouth,loss of balance,restlessness,lethargy,watering eyes
Myositis,fever,chills,fatigue,body aches,headache
Myotonic dystrophy,memory loss,hunger,difficulty swallowing,pale skin,spinning sensation
Ménière's disease,indigestion,brittle nails,nausea,cold intolerance,neck pain
Narcissistic personality disorder,weight loss,yellowish skin,constipation,hoarseness,tinnitus
Narcolepsy,dry skin,mood swings,chills,blurred vision,constipation
Nasal polyps,itching,frequent urination,chills,redness,hair loss
Nasopharyngeal cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Nausea,fever,dry skin,heat intolerance,watering eyes,earache
Necatoriasis,dry skin,dizziness,weight loss,sweating,pale skin
Neck pain,fever,bloating,delusions,spinning sensation,dark urine
Necrotizing fasciitis,fever,chills,fatigue,body aches,headache
Nephrolithiasis,blisters,cold intolerance,yellowish skin,weight loss,burning sensation
Nephrotic syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Neuralgia,confusion,restlessness,headache,pain,sore throat
Neuroblastoma,headache,dizziness,confusion,seizures,numbness
Neuroendocrine tumor,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Neurofibromatosis,headache,dizziness,confusion,seizures,numbness
Neuromyelitis optica,fever,chills,fatigue,body aches,headache
Niacin deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Niemann-Pick disease,hoarseness,restlessness,chest pain,gas,earache
Night sweats,heartburn,palpitations,chest pain,back pain,thirst
Nocardiosis,chest pain,palpitations,shortness of breath,fatigue,dizziness
Nodular sclerosis HL,night sweats,numbness,pain,abdominal pain,burning sensation
Non-Hodgkin's lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Nonalcoholic fatty liver disease,vomiting,abdominal pain,nausea,sweating,anxiety
Nongonococcal urethritis,fever,chills,fatigue,body aches,headache
Nontuberculous mycobacterial infection,fever,chills,fatigue,body aches,headache
Noonan syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Norovirus,fever,chills,fatigue,body aches,headache
Obsessive-compulsive disorder,weight loss,blood in urine,confusion,brittle nails,stiffness
Obsessive-compulsive personality disorder,bruising,fatigue,delusions,weight loss,bloating
Obstructive sleep apnoea,hair loss,blood in urine,night sweats,lump,dry skin
Oesophageal cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Oesophagitis,fever,chills,fatigue,body aches,headache
Oligodendroglioma,seizures,fatigue,blood in stool,restlessness,confusion
Omsk hemorrhagic fever,fever,chills,fatigue,body aches,headache
Onchocerciasis,skin rash,hoarseness,mood swings,bruising,loss of balance
Onychomycosis,pale skin,lethargy,fatigue,tinnitus,bloating
Opisthorchiasis,sweating,heartburn,chest pain,memory loss,blood in urine
Oppositional defiant disorder,hoarseness,fatigue,fever,burning sensation,lethargy
Optic neuritis,fever,chills,fatigue,body aches,headache
Oral cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Orbital cellulitis,fever,chills,fatigue,body aches,headache
Orchitis,fever,chills,fatigue,body aches,headache
Orf,yellowish skin,blurred vision,bruising,dry mouth,inflammation
Orthostatic hypotension,vomiting,loss of balance,sweating,shortness of breath,abdominal pain
Osteogenesis imperfecta,thirst,lethargy,fever,blood in urine,inflammation
Osteomalacia,inflammation,shivering,chest pain,diarrhea,constipation
Osteomyelitis,fever,chills,fatigue,body aches,headache
Osteosarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Otitis externa,fever,chills,fatigue,body aches,headache
Otitis media,fever,chills,fatigue,body aches,headache
Otosclerosis,spinning sensation,earache,dark urine,tremor,blisters
Ovarian cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Ovarian cyst,dark urine,anxiety,itching,abdominal pain,neck pain
Overactive thyroid,blisters,inflammation,lump,mood swings,cold intolerance
Paget's disease of bone,joint pain,stiffness,swelling,movement restriction,muscle weakness
Paget's disease of the breast,pale skin,lethargy,lump,cough,stiffness
Pancreatic cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Panic disorder,lethargy,muscle aches,dizziness,hoarseness,palpitations
Papillary thyroid cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Paracoccidioidomycosis,yellowish skin,headache,mood swings,abdominal pain,bloating
Paragonimiasis,thirst,bruising,dry mouth,anxiety,insomnia
Parainfluenza,fever,chills,fatigue,body aches,headache
Paralysis,dark urine,pain,heat intolerance,chills,hair loss
Paranoid personality disorder,lump,swelling,insomnia,dizziness,restlessness
Parathyroid cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Parkinson's disease,dry mouth,sore throat,foul smell,bruising,dark urine
Paronychia,foul smell,itching,pale skin,difficulty swallowing,memory loss
Paroxysmal nocturnal haemoglobinuria,watering eyes,tinnitus,constipation,cough,loss of balance
Paroxysmal nocturnal hemoglobinuria,palpitations,fatigue,joint pain,abdominal pain,vomiting
Paroxysmal supraventricular tachycardia,swelling,headache,bloating,chills,fever
Parvovirus B19,fever,chills,fatigue,body aches,headache
Patau syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Patau's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Patent ductus arteriosus,diarrhea,fainting,muscle aches,hallucinations,night sweats
Pediculosis,dark urine,fever,back pain,hallucinations,inflammation
Pellagra,chills,bloating,hair loss,sweating,cough
Pelvic inflammatory disease,dry skin,mood swings,delusions,blood in stool,hoarseness
Pelvic organ prolapse,chills,hoarseness,heat intolerance,swelling,chest pain
Pemphigoid,skin rash,stiffness,heartburn,brittle nails,anxiety
Pemphigus vulgaris,chest pain,stiffness,hoarseness,sweating,night sweats
Penile cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Peptic ulcer,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Peptic ulcer disease,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Pericarditis,fever,chills,fatigue,body aches,headache
Periodontitis,fever,chills,fatigue,body aches,headache
Peripheral T-cell lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Peripheral artery disease,chest pain,palpitations,shortness of breath,fatigue,dizziness
Peripheral neuropathy,headache,dizziness,confusion,seizures,numbness
Peripheral vascular disease,lethargy,earache,pain,blisters,gas
Peritonitis,fever,chills,fatigue,body aches,headache
Peroneal neuropathy,headache,dizziness,confusion,seizures,numbness
Personality disorder,sweating,chills,inflammation,vomiting,diarrhea
Perthes' disease,weight loss,muscle aches,brittle nails,thirst,loss of appetite
Pertussis,lump,indigestion,fainting,blood in urine,hallucinations
Phaeochromocytoma,hallucinations,delusions,shivering,dark urine,headache
Pharyngitis,fever,chills,fatigue,body aches,headache
Phenylketonuria,lethargy,spinning sensation,pale skin,memory loss,shivering
Pheochromocytoma,cough,chest pain,bruising,anxiety,skin rash
Phimosis,constipation,redness,cough,weight loss,blisters
Phobias,loss of balance,inflammation,dizziness,sweating,heartburn
Pick's disease,difficulty swallowing,joint pain,spinning sensation,earache,hallucinations
Piles,swelling,weakness,yellowish skin,hoarseness,weight loss
Pinealoma,abdominal pain,constipation,difficulty swallowing,hoarseness,indigestion
Pinta,chills,thirst,runny nose,night sweats,joint pain
Pituitary tumor,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Pityriasis rosea,blood in urine,frequent urination,swelling,seizures,gas
Placenta previa,sore throat,frequent urination,pain,hunger,blisters
Placental abruption,cough,fatigue,lump,brittle nails,restlessness
Plague,skin rash,watering eyes,blood in stool,diarrhea,shivering
Plantar fasciitis,fever,chills,fatigue,body aches,headache
Plasmacytoma,diarrhea,difficulty swallowing,watering eyes,dark urine,hunger
Pleural effusion,sweating,back pain,pain,skin rash,spinning sensation
Pleurisy,redness,runny nose,lump,weight loss,tinnitus
Pleurodynia,watering eyes,mood swings,blood in stool,blurred vision,burning sensation
Pneumococcal disease,cough,shortness of breath,chest pain,wheezing,sore throat
Pneumoconiosis,cough,shortness of breath,chest pain,wheezing,sore throat
Pneumocystis pneumonia,cough,shortness of breath,chest pain,wheezing,sore throat
Pneumonia of the newborn,cough,shortness of breath,chest pain,wheezing,sore throat
Pneumothorax,cough,shortness of breath,chest pain,wheezing,sore throat
Polio,pale skin,fatigue,chest pain,seizures,palpitations
Poliomyelitis,fever,chills,fatigue,body aches,headache
Polyarteritis nodosa,fever,chills,fatigue,body aches,headache
Polycystic kidney disease,lump,joint pain,hunger,brittle nails,chest pain
Polycystic ovary syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Polycythaemia vera,tremor,skin rash,earache,dry skin,lump
Polycythemia vera,vomiting,sweating,numbness,skin rash,cold intolerance
Polymyalgia rheumatica,delusions,night sweats,insomnia,joint pain,hoarseness
Polymyositis,fever,chills,fatigue,body aches,headache
Pontiac fever,fever,chills,fatigue,body aches,headache
Porphyria,restlessness,night sweats,bruising,abdominal pain,anxiety
Post-concussion syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Post-polio syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Post-streptococcal glomerulonephritis,fever,chills,fatigue,body aches,headache
Post-traumatic stress disorder,palpitations,hair loss,skin rash,nausea,heat intolerance
Postnatal depression,swelling,loss of balance,inflammation,anxiety,hunger
Prader-Willi syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Pre-eclampsia,stiffness,back pain,tinnitus,fatigue,blood in urine
Preeclampsia,sweating,anxiety,vomiting,bruising,hoarseness
Pregnancy,numbness,tinnitus,gas,delusions,sweating
Premature ejaculation,dry mouth,thirst,inflammation,yellowish skin,shortness of breath
Premenstrual syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Presbyopia,insomnia,skin rash,chills,yellowish skin,dizziness
Priapism,palpitations,insomnia,stiffness,pain,constipation
Primary CNS lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Primary amoebic meningoencephalitis,fever,chills,fatigue,body aches,headache
Primary biliary cholangitis,fever,chills,fatigue,body aches,headache
Primary myelofibrosis,thirst,constipation,back pain,restlessness,indigestion
Primary sclerosing cholangitis,fever,chills,fatigue,body aches,headache
Proctitis,fever,chills,fatigue,body aches,headache
Progressive supranuclear palsy,headache,dizziness,confusion,seizures,numbness
Prolactinoma,blurred vision,bruising,tremor,swelling,shivering
Prostate cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Prostatitis,fever,chills,fatigue,body aches,headache
Protein C deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Protein S deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Protein-energy malnutrition,blisters,burning sensation,cold intolerance,hoarseness,night sweats
Pseudogout,swelling,chills,dry mouth,restlessness,chest pain
Pseudohypoparathyroidism,fatigue,spinning sensation,blisters,abdominal pain,dry mouth
Psittacosis,insomnia,heartburn,hallucinations,brittle nails,pain
Psoriatic arthritis,fever,chills,fatigue,body aches,headache
Psychosis,itching,dry mouth,indigestion,nausea,blood in stool
Ptosis,sore throat,heartburn,weight loss,pain,watering eyes
Pubic lice,foul smell,weakness,joint pain,seizures,bloating
Pulmonary edema,confusion,restlessness,blood in urine,nausea,blood in stool
Pulmonary embolism,cough,neck pain,hoarseness,nausea,fainting
Pulmonary hypertension,back pain,earache,heartburn,night sweats,vomiting
Pulmonary regurgitation,restlessness,burning sensation,abdominal pain,anxiety,seizures
Pulmonary stenosis,dry mouth,brittle nails,heat intolerance,weight loss,skin rash
